0 0 0 0 0 0 0 0 0 0 0 
19 12.7822 9.61535 7.54959 5.9727 4.67219 3.5502 2.55913 1.65704 0.814607 0 
28 22.5741 18.2502 14.7666 11.8597 9.35407 7.15475 5.17749 3.36625 1.65704 0 
37 31.3863 26.2641 21.7216 17.6928 14.1081 10.8751 7.92767 5.17749 2.55913 0 
46 39.8685 34.0191 28.5789 23.5894 19.0115 14.8035 10.8751 7.15475 3.5502 0 
55 48.2707 41.7281 35.5063 29.6495 24.1715 19.0115 14.1081 9.35407 4.67219 0 
64 56.6908 49.5237 42.5962 35.9752 29.6495 23.5894 17.6928 11.8597 5.9727 0 
73 65.1764 57.4526 49.9149 42.5962 35.5063 28.5789 21.7216 14.7666 7.54959 0 
82 73.7321 65.5335 57.4526 49.5237 41.7281 34.0191 26.2641 18.2502 9.61535 0 
91 82.3496 73.7321 65.1764 56.6908 48.2707 39.8685 31.3863 22.5741 12.7822 0 
100 91 82 73 64 55 46 37 28 19 0 
