0 0 0 0 0 0 0 0 0 0 0 
19 11.9888 8.1452 5.59811 3.79297 2.50169 1.60535 0.989157 0.566995 0.257046 0 
28 21.0309 15.3779 10.9677 7.59773 5.1226 3.34768 2.11167 1.23012 0.566995 0 
37 29.1761 22.1669 16.2761 11.6033 8.03302 5.42289 3.51789 2.11167 0.989157 0 
46 37.1537 28.9603 21.8811 16.0592 11.521 8.04673 5.42289 3.34768 1.60535 0 
55 45.2617 36.1473 28.0747 21.3252 15.8443 11.521 8.03302 5.1226 2.50169 0 
64 53.6942 43.9324 35.1852 27.6235 21.3252 16.0592 11.6033 7.59773 3.79297 0 
73 62.5071 52.4996 43.3081 35.1852 28.0747 21.8811 16.2761 10.9677 5.59811 0 
82 71.7329 61.7995 52.4996 43.9324 36.1473 28.9603 22.1669 15.3779 8.1452 0 
91 81.2724 71.7329 62.5071 53.6942 45.2617 37.1537 29.1761 21.0309 11.9888 0 
100 91 82 73 64 55 46 37 28 19 0 
